iteration,avg_dist,max_dist,min_dist,std
1,20184.178,27397.145,14854.459,2096.6277
2,19586.816,26764.47,14219.03,2055.496
3,18738.186,25052.18,14332.241,1805.0966
4,17953.416,23974.2,12815.559,1828.7616
5,17152.932,22151.023,12449.496,1699.5205
6,16228.973,22436.76,10538.748,1793.2194
7,15323.239,21818.838,10902.47,1739.2876
8,14622.947,19661.348,10065.675,1585.9476
9,13891.0625,18633.963,9168.842,1530.1483
10,13343.189,18520.973,8220.347,1550.6012
11,12911.333,17122.824,9485.07,1414.4565
12,12441.986,16813.004,8176.7466,1387.9543
13,12145.767,16458.99,8574.346,1364.7285
14,11767.941,18423.156,8209.817,1326.3076
15,11497.836,16005.633,8399.877,1326.0889
16,11358.351,15993.185,7776.7104,1277.1488
17,11154.048,17665.543,7407.5425,1346.8723
18,11006.81,15121.144,7338.034,1296.722
19,10972.429,15125.685,7646.1436,1269.9984
20,10839.871,14781.98,7354.659,1261.4578
21,10730.5625,15683.779,7055.0234,1308.3934
22,10645.044,14165.574,7340.687,1254.5134
23,10661.954,14462.979,7229.5894,1220.1735
24,10535.228,14849.353,7099.5464,1225.8602
25,10553.95,14573.475,7403.2446,1290.5441
26,10486.337,15932.9,6923.9756,1318.4169
27,10345.043,14185.855,6905.4165,1256.9332
28,10379.045,14128.087,7220.5957,1227.5496
29,10417.785,14752.13,7163.447,1358.306
30,10266.71,13870.031,6905.7637,1285.1162
31,10179.21,15243.472,7085.667,1295.5206
32,10273.743,14276.731,6878.2793,1278.734
33,10123.359,14770.594,6951.879,1285.5387
34,10151.94,14971.603,7024.0264,1277.4337
35,10023.648,14050.82,6967.4126,1205.3087
36,10112.517,14592.743,7043.6255,1314.8617
37,10126.6045,13924.067,6834.075,1340.6268
38,10042.073,13905.98,6812.4517,1359.0049
39,9866.795,15369.34,6668.295,1275.3875
40,9936.419,13955.427,6836.1724,1306.6642
41,9920.385,14253.779,6858.5933,1289.1792
42,9801.45,14664.618,6834.759,1347.4333
43,9834.484,14430.781,6720.475,1318.0458
44,9875.018,14657.376,6771.5376,1197.7383
45,9837.938,13312.103,6771.537,1288.8862
46,9801.906,14231.408,6882.53,1224.3308
47,9723.6455,14106.586,6799.606,1329.8505
48,9745.136,13721.404,6699.4067,1259.7938
49,9737.337,14253.928,6770.0806,1254.1874
50,9713.87,13848.368,6779.368,1300.7751
51,9570.941,13854.112,6665.3804,1289.1329
52,9465.974,13688.797,6792.9087,1307.0248
53,9493.819,13653.406,6860.25,1313.4554
54,9368.447,13859.074,6771.5366,1299.8347
55,9410.887,13461.645,6665.38,1320.7023
56,9375.721,14107.754,6701.544,1295.3613
57,9310.663,13379.557,6769.616,1379.0411
58,9227.13,13697.577,6745.696,1286.6997
59,9188.536,13600.221,6771.341,1294.3248
60,9084.715,12893.665,6696.492,1281.2305
61,8984.959,13416.124,6688.9253,1274.2128
62,9113.807,14714.098,6766.9307,1285.9105
63,9003.53,13159.271,6673.408,1260.8214
64,9133.215,13090.5,6730.3765,1278.412
65,9044.616,14580.434,6779.369,1335.7203
66,8982.381,14085.587,6665.5767,1341.2916
67,8879.787,13883.537,6697.894,1288.4695
68,8881.02,13661.998,6697.894,1230.2599
69,8797.183,12862.981,6771.341,1251.016
70,8809.212,13163.302,6769.183,1297.414
71,8770.832,14183.599,6696.4917,1206.3264
72,8709.736,13087.483,6758.6816,1222.1072
73,8666.507,12701.656,6771.341,1234.196
74,8741.747,13937.826,6697.8945,1252.8086
75,8669.469,14497.638,6665.5767,1280.0232
76,8649.048,12745.054,6668.294,1138.122
77,8673.498,13593.632,6740.2197,1294.7787
78,8556.628,13983.777,6712.502,1183.1752
79,8610.166,13756.249,6770.0806,1197.9135
80,8495.863,13003.938,6705.89,1173.5736
81,8503.15,12618.706,6694.7324,1144.3806
82,8462.993,13628.768,6770.081,1223.618
83,8427.478,15182.1045,6665.38,1184.6956
84,8373.077,12316.365,6743.005,1161.1876
85,8436.291,12452.464,6697.894,1136.5112
86,8381.161,13002.992,6696.492,1172.7173
87,8506.045,12865.479,6688.9253,1213.8812
88,8386.799,13193.725,6688.9253,1147.2118
89,8396.793,13464.179,6695.736,1211.6659
90,8372.068,13335.442,6673.408,1143.5742
91,8282.541,12458.52,6664.1196,1133.2609
92,8321.745,12764.348,6688.9253,1125.4978
93,8332.364,12804.8125,6711.559,1204.6849
94,8244.482,12862.402,6663.222,1166.3402
95,8333.632,14033.244,6663.2207,1188.1915
96,8245.086,12486.181,6723.437,1123.7592
97,8192.612,12793.51,6721.7827,1189.2312
98,8261.697,13283.927,6695.7363,1174.6544
99,8314.05,13559.5205,6665.3794,1207.1605
100,8191.455,13375.381,6769.704,1123.2592
101,8277.636,13366.831,6696.492,1160.4932
102,8278.794,12873.378,6757.3896,1237.867
103,8151.8574,12842.034,6665.3794,1131.6873
104,8088.2256,12231.95,6717.04,1125.012
105,8168.8984,12419.083,6696.4917,1148.374
106,8182.747,13255.504,6754.3257,1141.065
107,8120.9106,12963.389,6769.1826,1156.4663
108,8144.798,12150.939,6743.394,1087.8555
109,8113.4795,11813.623,6673.408,1076.6006
110,8049.672,12505.746,6740.0903,1175.3188
111,8139.335,12924.956,6729.619,1215.1825
112,8101.197,12646.326,6665.576,1088.3955
113,8059.827,12236.491,6769.1826,1120.8276
114,8024.248,11445.496,6769.1826,1081.3326
115,8063.25,12164.533,6769.1816,1097.7559
116,8051.4053,12706.6045,6769.182,1024.0419
117,8035.9756,13092.819,6769.1826,1017.3584
118,8046.6562,13064.38,6769.1826,1070.3596
119,8045.046,12530.055,6765.401,1006.736
120,8046.7354,12543.263,6666.136,1104.8262
121,7970.677,11885.762,6769.1826,1012.4345
122,8027.993,12137.707,6705.1543,1049.3527
123,8053.5635,12213.082,6696.601,1117.546
124,7995.538,12994.334,6770.08,1095.2378
125,8096.174,12187.171,6770.0806,1105.9423
126,8084.693,11644.255,6769.182,1066.3932
127,8021.6997,12137.986,6769.183,1097.9423
128,8053.5635,12214.574,6665.3794,1062.1785
129,7996.734,12133.855,6769.1826,1052.7676
130,8021.6997,12625.043,6763.8853,1148.6858
131,8082.019,11531.764,6770.081,1049.6948
132,8011.4844,12376.12,6769.1826,1090.6595
133,8021.6997,12786.726,6770.0806,1103.9587
134,7942.402,12610.537,6769.182,1003.2345
135,7950.5215,12160.835,6769.1826,1063.7262
136,8090.05,12668.56,6769.182,1082.3173
137,8041.0884,13335.133,6769.1826,1109.8312
138,7942.402,11944.675,6769.1826,1082.4626
139,7868.917,14121.394,6769.1826,1000.74
140,8052.4097,12568.697,6769.1826,1100.4612
141,8029.547,11958.439,6770.0806,1048.6404
142,8008.2065,12714.29,6769.1826,1098.971
143,8091.114,12801.184,6770.0806,1085.1152
144,7953.524,12392.792,6770.0806,1030.6304
145,8020.7686,12994.32,6770.08,1114.9742
146,8035.08,12687.292,6769.182,1144.3772
147,8035.08,12080.664,6770.081,1061.7551
148,8000.625,12330.153,6770.08,1068.5591
149,7945.553,11620.6875,6769.1826,1058.8464
150,7962.812,11928.28,6769.1826,1056.182
151,7990.7974,11875.292,6769.1826,1058.8636
152,8018.008,12215.862,6769.7036,1056.543
153,8000.6885,12738.38,6769.182,1044.0278
